term,source,facet,frequency
students,hashtag_registry,hashtag,4
lock,hashtag_registry,hashtag,4
proficiencyinmicrosoft,hashtag_registry,skill,4
storywriting,hashtag_registry,skill,4
businessexpansion,hashtag_registry,hashtag,4
startups,hashtag_registry,hashtag,4
techfounders,hashtag_registry,hashtag,4
entrepreneurship,hashtag_registry,hashtag,4
businessinwestafrica,hashtag_registry,hashtag,4
entertainment,hashtag_registry,hashtag,3
savings,hashtag_registry,hashtag,3
interior,hashtag_registry,hashtag,3
learning,hashtag_registry,hashtag,3
recipe,hashtag_registry,hashtag,3
communitymanager,hashtag_registry,skill,3
hackaton,hashtag_registry,hashtag,3
dataanalysis,hashtag_registry,skill,3
growth,hashtag_registry,hashtag,3
beprepared,hashtag_registry,hashtag,3
money,hashtag_registry,hashtag,2
outfit,hashtag_registry,hashtag,2
goals,hashtag_registry,hashtag,2
beauty,hashtag_registry,hashtag,2
meditation,hashtag_registry,hashtag,2
inspiration,hashtag_registry,hashtag,2
travel,hashtag_registry,hashtag,2
digital,hashtag_registry,hashtag,2
home,hashtag_registry,hashtag,2
personaldevelopment,hashtag_registry,hashtag,2
sports,hashtag_registry,hashtag,2
leadreport,hashtag_registry,skill,2
futureofafrica,hashtag_registry,hashtag,2
administrativeassistant,hashtag_registry,skill,2
customerservice,hashtag_registry,skill,2
recordkeeping,hashtag_registry,skill,2
python,hashtag_registry,skill,2
sql,hashtag_registry,skill,2
technicalwriting,hashtag_registry,skill,2
excel,hashtag_registry,skill,2
finance,hashtag_registry,hashtag,1
wellness,hashtag_registry,hashtag,1
career,hashtag_registry,hashtag,1
education,hashtag_registry,hashtag,1
love,hashtag_registry,hashtag,1
baking,hashtag_registry,hashtag,1
habits,hashtag_registry,hashtag,1
study,hashtag_registry,hashtag,1
motivation,hashtag_registry,hashtag,1
style,hashtag_registry,hashtag,1
gaming,hashtag_registry,hashtag,1
explore,hashtag_registry,hashtag,1
workout,hashtag_registry,hashtag,1
medicin,hashtag_registry,hashtag,1
jalingo,hashtag_registry,hashtag,1
womenintech,hashtag_registry,hashtag,1
newbeginnings,hashtag_registry,hashtag,1
the,hashtag_registry,hashtag,1
upway,hashtag_registry,hashtag,1
humanresourcesmanagement,hashtag_registry,skill,1
letusgoup,hashtag_registry,hashtag,1
hairstylist,hashtag_registry,skill,1
leadgeneralcounsel,hashtag_registry,skill,1
healthandsafetymanager,hashtag_registry,skill,1
aitools,hashtag_registry,skill,1
automation,hashtag_registry,skill,1
Jobs & Career Opportunities,profile,interests,1593
Networking Events,profile,interests,1566
Remote Work & Digital Skills,profile,interests,1518
Scholarships & Grants,profile,interests,1383
Training & Workshops,profile,interests,1361
Volunteering & Community Service,profile,interests,1245
Entrepreneurship & Funding,profile,interests,1170
program,profile,interests,401
internship,profile,interests,344
training,profile,interests,337
bootcamps,profile,interests,307
grants,profile,interests,257
scholarship,profile,interests,200
conference,profile,interests,165
general,profile,interests,157
fellowship,profile,interests,142
networking,profile,interests,142
full-time,profile,interests,138
workshop,profile,interests,114
award,profile,interests,94
internships,profile,interests,94
Research & Academic Opportunities,profile,interests,92
International Exchange Programs,profile,interests,90
it,profile,interests,86
permanent,profile,interests,81
scholarships,profile,interests,79
management,profile,interests,77
remote,profile,interests,77
grant,profile,interests,70
senior,profile,interests,68
competition,profile,interests,65
Event,profile,interests,61
exhibition,profile,interests,60
other,profile,interests,50
business,profile,interests,48
contract,profile,interests,46
fellowships,profile,interests,40
call-for-applications,profile,interests,35
jobs,profile,interests,29
gaming,profile,interests,25
mid-level,profile,interests,25
sales,profile,interests,23
startups,profile,interests,20
mentorship,profile,interests,18
administration,profile,interests,17
tech,profile,interests,17
coding,profile,interests,16
data,profile,interests,15
engineering,profile,interests,15
junior,profile,interests,15
talent,profile,interests,15
seminar,profile,interests,13
social-media,profile,interests,13
contests,profile,interests,12
customer-service,profile,interests,11
graphics-design,profile,interests,11
executives,profile,interests,10
meetup,profile,interests,10
energyevents,profile,interests,9
abujaevents,profile,interests,8
certification,profile,interests,8
entry-level,profile,interests,8
Finance,profile,interests,8
product-design,profile,interests,8
theultimatepitchdeck,profile,interests,8
agruiculture,profile,interests,7
Artofpitching,profile,interests,7
entrepreneurship,profile,interests,7
Founders,profile,interests,7
journalist,profile,interests,7
Leadership,profile,interests,7
media,profile,interests,7
nigeria,profile,interests,7
photography,profile,interests,7
women empowernment,profile,interests,7
ghana,profile,interests,6
music,profile,interests,6
senegal,profile,interests,6
west africa,profile,interests,6
climate,profile,interests,5
Creatives,profile,interests,5
education,profile,interests,5
environmental,profile,interests,5
executive,profile,interests,5
freelancers,profile,interests,5
phd,profile,interests,5
Salespeople,profile,interests,5
brunch,profile,interests,4
energy,profile,interests,4
growth,profile,interests,4
innovation,profile,interests,4
legacy,profile,interests,4
social,profile,interests,4
technology,profile,interests,4
women,profile,interests,4
women empowerment,profile,interests,4
ai,profile,interests,3
AI,profile,interests,3
demo,profile,interests,3
festival,profile,interests,3
finance,profile,interests,3
graphic_design,profile,interests,3
Management,profile,interests,3
marketers,profile,interests,3
Technology,profile,interests,3
Challenge,profile,interests,2
development,profile,interests,2
educational,profile,interests,2
egypt,profile,interests,2
entertainment,profile,interests,2
Expo,profile,interests,2
hackathon,profile,interests,2
Marketplace,profile,interests,2
Online,profile,interests,2
panel,profile,interests,2
strategy,profile,interests,2
womenempowerment,profile,interests,2
womenevents,profile,interests,2
#EnuguGamingConference2026,profile,interests,1
abuja,profile,interests,1
art,profile,interests,1
backend,profile,interests,1
competitions,profile,interests,1
concert,profile,interests,1
confrence,profile,interests,1
cybersecurity,profile,interests,1
Data Analysis,profile,interests,1
digital education,profile,interests,1
expo,profile,interests,1
fashion,profile,interests,1
frontend,profile,interests,1
Git,profile,interests,1
Graphic Design,profile,interests,1
investment,profile,interests,1
JavaScript,profile,interests,1
lagos,profile,interests,1
Lagos,profile,interests,1
leadership,profile,interests,1
machine learning,profile,interests,1
masters,profile,interests,1
money,profile,interests,1
Networking,profile,interests,1
private capital,profile,interests,1
react,profile,interests,1
React,profile,interests,1
research,profile,interests,1
sewing,profile,interests,1
simpleend,profile,interests,1
skillbuilding,profile,interests,1
sports,profile,interests,1
startup,profile,interests,1
summer,profile,interests,1
talk,profile,interests,1
traning,profile,interests,1
ui/ux-design,profile,interests,1
Web Development,profile,interests,1
webinar,profile,interests,1
Workshop,profile,interests,1
Communication,profile,skills,728
Leadership,profile,skills,359
Project Management,profile,skills,265
Problem Solving,profile,skills,181
Content Writing,profile,skills,169
Teamwork,profile,skills,128
Customer Service,profile,skills,111
content creation,profile,skills,91
Video Editing,profile,skills,91
Social Media,profile,skills,89
Graphic Design,profile,skills,81
Python,profile,skills,76
Research,profile,skills,66
Public Speaking,profile,skills,65
Critical Thinking,profile,skills,57
Time Management,profile,skills,56
Data Analysis,profile,skills,54
JavaScript,profile,skills,53
Digital Marketing,profile,skills,48
