canonical_term,source,frequency,taxonomy_tag,variants
program,contentTags,72,,program
general,contentTags,67,,general
conference,contentTags,54,networking-events,conference
bootcamps,contentTags,48,training-workshops,bootcamps
training,contentTags,48,training-workshops,training
remote,contentTags,43,remote-digital-skills,remote
internship,contentTags,42,internship,internship | internships
full-time,contentTags,39,jobs-careers,full-time
grants,contentTags,37,scholarships-grants,grants | grant
workshop,contentTags,20,training-workshops,workshop | Workshop
scholarship,contentTags,20,scholarships-grants,scholarship | scholarships
contract,contentTags,17,,contract
senior,contentTags,16,,senior
fellowship,contentTags,16,fellowship,fellowship | fellowships
other,contentTags,15,,other
exhibition,contentTags,14,,exhibition
business,contentTags,9,business-finance,business
engineering,contentTags,9,technology,engineering
management,contentTags,9,business-finance,management | Management
junior,contentTags,8,,junior
permanent,contentTags,8,,permanent
networking,contentTags,8,networking-events,networking | Networking
technology,contentTags,8,technology,technology | Technology
award,contentTags,7,competition,award
seminar,contentTags,7,training-workshops,seminar
mid-level,contentTags,6,,mid-level
administration,contentTags,5,government-public,administration
call-for-applications,contentTags,4,competition,call-for-applications
competition,contentTags,4,competition,competition
innovation,contentTags,4,,innovation
executive,contentTags,4,,executive | executives
certification,contentTags,3,training-workshops,certification
customer-service,contentTags,3,,customer-service
expo,contentTags,3,networking-events,expo
it,contentTags,3,,it
jobs,contentTags,3,jobs-careers,jobs
tech,contentTags,3,technology,tech
finance,contentTags,3,business-finance,finance | Finance
graphics-design,contentTags,3,,graphics-design | graphic_design
Lagos,contentTags,3,,Lagos | lagos
leadership,contentTags,3,skill-development,leadership | Leadership
nigeria,contentTags,3,,nigeria | Nigeria
AI,contentTags,2,,AI
contests,contentTags,2,competition,contests
education,contentTags,2,education-training,education
entertainment,contentTags,2,,entertainment
entry-level,contentTags,2,,entry-level
future,contentTags,2,,future
ghana,contentTags,2,,ghana
part-time,contentTags,2,jobs-careers,part-time
party,contentTags,2,,party
sales,contentTags,2,business-finance,sales
social-media,contentTags,2,,social-media
ui/ux-design,contentTags,2,,ui/ux-design
startup,contentTags,2,entrepreneurship-funding,startup | startups
algeria,contentTags,1,,algeria
Art,contentTags,1,creative-media,Art
Artofpitching,contentTags,1,,Artofpitching
Blockchain,contentTags,1,,Blockchain
career,contentTags,1,jobs-careers,career
Christianity,contentTags,1,,Christianity
coding,contentTags,1,,coding
Creatives,contentTags,1,creative-media,Creatives
Culture,contentTags,1,,Culture
data-analysis,contentTags,1,,data-analysis
digital,contentTags,1,,digital
digital media,contentTags,1,,digital media
Digital Transformation,contentTags,1,,Digital Transformation
digitalconference,contentTags,1,,digitalconference
egypt,contentTags,1,,egypt
energy,contentTags,1,,energy
entrepreneurship,contentTags,1,entrepreneurship-funding,entrepreneurship
Event,contentTags,1,,Event
festival,contentTags,1,,festival
Founders,contentTags,1,entrepreneurship-funding,Founders
freelancers,contentTags,1,remote-digital-skills,freelancers
full-stack-development,contentTags,1,,full-stack-development
gaming,contentTags,1,,gaming
investment,contentTags,1,entrepreneurship-funding,investment
learning,contentTags,1,,learning
marketers,contentTags,1,,marketers
Nigerian Event Hostess,contentTags,1,,Nigerian Event Hostess
OpenGov,contentTags,1,,OpenGov
parenting,contentTags,1,,parenting
parenting conference,contentTags,1,,parenting conference
private capital,contentTags,1,,private capital
product-design,contentTags,1,,product-design
Salespeople,contentTags,1,,Salespeople
shoe,contentTags,1,,shoe
Showcase,contentTags,1,,Showcase
skillbuilding,contentTags,1,,skillbuilding
social,contentTags,1,,social
strategy,contentTags,1,,strategy
study abroad,contentTags,1,international-programs,study abroad
summit,contentTags,1,networking-events,summit
talk,contentTags,1,,talk
Testimony of Faith,contentTags,1,,Testimony of Faith
Theology,contentTags,1,,Theology
theultimatepitchdeck,contentTags,1,,theultimatepitchdeck
wealth,contentTags,1,,wealth
womenempowerment,contentTags,1,,womenempowerment
womenintech,contentTags,1,,womenintech
bootcamps,contentCategory,48,training-workshops,bootcamps
course,contentCategory,35,training-workshops,course | Course
grants,contentCategory,27,scholarships-grants,grants | grant
internships,contentCategory,6,internship,internships
scholarships,contentCategory,6,scholarships-grants,scholarships | scholarship
Tool,contentCategory,5,,Tool
call-for-applications,contentCategory,4,competition,call-for-applications
fellowships,contentCategory,4,fellowship,fellowships
contests,contentCategory,2,competition,contests
E-book,contentCategory,2,,E-book
article,contentCategory,1,,article
egypt,contentCategory,1,,egypt
ghana,contentCategory,1,,ghana
Guide,contentCategory,1,,Guide
other,contentCategory,1,,other
Template,contentCategory,1,,Template
Tutorial,contentCategory,1,,Tutorial
Technology,contentSectors,228,technology,Technology
Arts,contentSectors,120,creative-media,Arts | arts
Media,contentSectors,111,creative-media,Media | media
Education,contentSectors,96,education-training,Education
Finance,contentSectors,93,business-finance,Finance | finance
Energy,contentSectors,68,,Energy | energy
Business,contentSectors,64,business-finance,Business
Healthcare,contentSectors,37,health-sciences,Healthcare
Agriculture,contentSectors,10,agriculture-environment,Agriculture
tech,contentSectors,10,technology,tech
government,contentSectors,2,government-public,government
commerce,contentSectors,1,,commerce
Professionals,contentAudience,130,,Professionals | professionals
Students,contentAudience,98,,Students
Youth,contentAudience,70,youth-women-inclusion,Youth
Entrepreneurs,contentAudience,52,entrepreneurship-funding,Entrepreneurs | entrepreneurs
Researchers,contentAudience,40,,Researchers
Women,contentAudience,18,youth-women-inclusion,Women
executives,contentAudience,5,,executives
creatives,contentAudience,1,creative-media,creatives
Developers,contentAudience,1,technology,Developers
investors,contentAudience,1,,investors
juniors,contentAudience,1,,juniors
Jobs & Career Opportunities,profileInterests,1593,jobs-careers,Jobs & Career Opportunities
Networking Events,profileInterests,1566,networking-events,Networking Events
Remote Work & Digital Skills,profileInterests,1518,remote-digital-skills,Remote Work & Digital Skills
Scholarships & Grants,profileInterests,1383,scholarships-grants,Scholarships & Grants
Training & Workshops,profileInterests,1361,training-workshops,Training & Workshops
Volunteering & Community Service,profileInterests,1245,volunteering,Volunteering & Community Service
Entrepreneurship & Funding,profileInterests,1170,entrepreneurship-funding,Entrepreneurship & Funding
internship,profileInterests,438,internship,internship | internships
program,profileInterests,401,,program
training,profileInterests,337,training-workshops,training
grants,profileInterests,327,scholarships-grants,grants | grant
bootcamps,profileInterests,307,training-workshops,bootcamps
scholarship,profileInterests,279,scholarships-grants,scholarship | scholarships
fellowship,profileInterests,182,fellowship,fellowship | fellowships
conference,profileInterests,165,networking-events,conference
general,profileInterests,157,,general
networking,profileInterests,143,networking-events,networking | Networking
full-time,profileInterests,138,jobs-careers,full-time
workshop,profileInterests,115,training-workshops,workshop | Workshop
award,profileInterests,94,competition,award
Research & Academic Opportunities,profileInterests,92,research-academic,Research & Academic Opportunities
International Exchange Programs,profileInterests,90,international-programs,International Exchange Programs
it,profileInterests,86,,it
permanent,profileInterests,81,,permanent
management,profileInterests,80,business-finance,management | Management
remote,profileInterests,77,remote-digital-skills,remote
senior,profileInterests,68,,senior
competition,profileInterests,66,competition,competition | competitions
Event,profileInterests,61,,Event
exhibition,profileInterests,60,,exhibition
other,profileInterests,50,,other
business,profileInterests,48,business-finance,business
contract,profileInterests,46,,contract
call-for-applications,profileInterests,35,competition,call-for-applications
jobs,profileInterests,29,jobs-careers,jobs
gaming,profileInterests,25,,gaming
mid-level,profileInterests,25,,mid-level
sales,profileInterests,23,business-finance,sales
startups,profileInterests,21,entrepreneurship-funding,startups | startup
mentorship,profileInterests,18,mentorship,mentorship
administration,profileInterests,17,government-public,administration
tech,profileInterests,17,technology,tech
coding,profileInterests,16,,coding
data,profileInterests,15,,data
engineering,profileInterests,15,technology,engineering
junior,profileInterests,15,,junior
talent,profileInterests,15,,talent
graphics-design,profileInterests,15,,graphics-design | graphic_design | Graphic Design
executives,profileInterests,15,,executives | executive
seminar,profileInterests,13,training-workshops,seminar
social-media,profileInterests,13,,social-media
contests,profileInterests,12,competition,contests
customer-service,profileInterests,11,,customer-service
Finance,profileInterests,11,business-finance,Finance | finance
meetup,profileInterests,10,networking-events,meetup
energyevents,profileInterests,9,,energyevents
abujaevents,profileInterests,8,,abujaevents
certification,profileInterests,8,training-workshops,certification
entry-level,profileInterests,8,,entry-level
product-design,profileInterests,8,,product-design
theultimatepitchdeck,profileInterests,8,,theultimatepitchdeck
Leadership,profileInterests,8,skill-development,Leadership | leadership
agruiculture,profileInterests,7,,agruiculture
Artofpitching,profileInterests,7,,Artofpitching
entrepreneurship,profileInterests,7,entrepreneurship-funding,entrepreneurship
Founders,profileInterests,7,entrepreneurship-funding,Founders
journalist,profileInterests,7,,journalist
media,profileInterests,7,creative-media,media
nigeria,profileInterests,7,,nigeria
photography,profileInterests,7,creative-media,photography
women empowernment,profileInterests,7,,women empowernment
technology,profileInterests,7,technology,technology | Technology
ghana,profileInterests,6,,ghana
music,profileInterests,6,creative-media,music
senegal,profileInterests,6,,senegal
west africa,profileInterests,6,,west africa
women empowerment,profileInterests,6,,women empowerment | womenempowerment
ai,profileInterests,6,,ai | AI
climate,profileInterests,5,agriculture-environment,climate
Creatives,profileInterests,5,creative-media,Creatives
education,profileInterests,5,education-training,education
environmental,profileInterests,5,,environmental
freelancers,profileInterests,5,remote-digital-skills,freelancers
phd,profileInterests,5,research-academic,phd
Salespeople,profileInterests,5,,Salespeople
brunch,profileInterests,4,,brunch
energy,profileInterests,4,,energy
growth,profileInterests,4,,growth
innovation,profileInterests,4,,innovation
legacy,profileInterests,4,,legacy
social,profileInterests,4,,social
women,profileInterests,4,youth-women-inclusion,women
demo,profileInterests,3,,demo
festival,profileInterests,3,,festival
marketers,profileInterests,3,,marketers
Expo,profileInterests,3,networking-events,Expo | expo
Challenge,profileInterests,2,competition,Challenge
development,profileInterests,2,,development
educational,profileInterests,2,,educational
egypt,profileInterests,2,,egypt
entertainment,profileInterests,2,,entertainment
hackathon,profileInterests,2,competition,hackathon
Marketplace,profileInterests,2,,Marketplace
Online,profileInterests,2,remote-digital-skills,Online
panel,profileInterests,2,,panel
strategy,profileInterests,2,,strategy
womenevents,profileInterests,2,,womenevents
lagos,profileInterests,2,,lagos | Lagos
react,profileInterests,2,,react | React
#EnuguGamingConference2026,profileInterests,1,,#EnuguGamingConference2026
abuja,profileInterests,1,,abuja
art,profileInterests,1,creative-media,art
backend,profileInterests,1,,backend
concert,profileInterests,1,,concert
confrence,profileInterests,1,,confrence
cybersecurity,profileInterests,1,technology,cybersecurity
Data Analysis,profileInterests,1,,Data Analysis
digital education,profileInterests,1,,digital education
fashion,profileInterests,1,creative-media,fashion
frontend,profileInterests,1,,frontend
Git,profileInterests,1,,Git
investment,profileInterests,1,entrepreneurship-funding,investment
JavaScript,profileInterests,1,,JavaScript
machine learning,profileInterests,1,technology,machine learning
masters,profileInterests,1,,masters
money,profileInterests,1,,money
private capital,profileInterests,1,,private capital
research,profileInterests,1,research-academic,research
sewing,profileInterests,1,,sewing
simpleend,profileInterests,1,,simpleend
skillbuilding,profileInterests,1,,skillbuilding
sports,profileInterests,1,,sports
summer,profileInterests,1,,summer
talk,profileInterests,1,,talk
traning,profileInterests,1,,traning
ui/ux-design,profileInterests,1,,ui/ux-design
Web Development,profileInterests,1,technology,Web Development
webinar,profileInterests,1,,webinar
Communication,profileSkills,733,,"Communication | communication | ""communication"""
Leadership,profileSkills,360,skill-development,Leadership | leadership
Project Management,profileSkills,272,,Project Management | Project management | project management
Problem Solving,profileSkills,190,,Problem Solving | Problem solving | problem solving | Problem solving. | Problem-Solving
Content Writing,profileSkills,170,,Content Writing | Content writing
